
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.50969499e-02, 9.19419885e-01, 3.92105591e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 8.84502029e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.56866688e-02, 9.67865527e-01, 3.73190582e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 7.42921371e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.15505663e-02, 9.89557683e-01, 3.65431763e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 6.82688522e+01
6.22102898e-03, 0.00000000e+00, 0.00000000e+00, 9.29772183e-02, 9.89019275e-01, 3.65995880e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 6.83635330e+01
6.30678656e-03, 0.00000000e+00, 0.00000000e+00, 9.20360386e-02, 9.79089499e-01, 3.70086182e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 7.13814011e+01
6.39284216e-03, 0.00000000e+00, 0.00000000e+00, 9.00556073e-02, 9.65679049e-01, 3.75520386e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 7.61287231e+01
6.47919765e-03, 0.00000000e+00, 0.00000000e+00, 8.77282172e-02, 9.51504767e-01, 3.81277557e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 8.18139114e+01
6.56585349e-03, 0.00000000e+00, 0.00000000e+00, 8.53587165e-02, 9.37496543e-01, 3.86991333e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 8.79484024e+01
6.65281108e-03, 0.00000000e+00, 0.00000000e+00, 8.31137449e-02, 9.24010754e-01, 3.92526672e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 9.41675720e+01
6.74007088e-03, 0.00000000e+00, 0.00000000e+00, 8.10840875e-02, 9.11299646e-01, 3.97807129e+02, 0.00000000e+00, 9.58737874e-15, 9.67648830e-15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 9.67648830e-15, 0.00000000e+00, 1.00342606e+02
6.82763522e-03, 0.00000000e+00, 0.00000000e+00, 7.92930052e-02, 8.99413824e-01, 4.02827972e+02, 0.00000000e+00, 4.45906570e-14, 4.45568028e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.45568028e-14, 0.00000000e+00, 1.06307808e+02
6.91550365e-03, 0.00000000e+00, 0.00000000e+00, 7.77198225e-02, 8.88221085e-01, 4.07631836e+02, 0.00000000e+00, 1.21731320e-13, 1.20250503e-13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 1.20250503e-13, 0.00000000e+00, 1.12010735e+02
7.00367847e-03, 0.00000000e+00, 0.00000000e+00, 7.63443112e-02, 8.77647996e-01, 4.12260132e+02, 0.00000000e+00, 2.74020173e-13, 2.67587872e-13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 2.67587872e-13, 0.00000000e+00, 1.17511612e+02
7.09215971e-03, 0.00000000e+00, 0.00000000e+00, 7.51336366e-02, 8.67618084e-01, 4.16760956e+02, 0.00000000e+00, 5.63439974e-13, 5.44063601e-13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 5.44063601e-13, 0.00000000e+00, 1.22769302e+02
7.18094921e-03, 0.00000000e+00, 0.00000000e+00, 7.40512162e-02, 8.58016193e-01, 4.21177704e+02, 0.00000000e+00, 1.09468999e-12, 1.04553334e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 1.04553334e-12, 0.00000000e+00, 1.27803741e+02
7.27004791e-03, 0.00000000e+00, 0.00000000e+00, 7.30939656e-02, 8.48746300e-01, 4.25541687e+02, 0.00000000e+00, 2.03608875e-12, 1.92390114e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 1.92390114e-12, 0.00000000e+00, 1.32602737e+02
7.35945627e-03, 0.00000000e+00, 0.00000000e+00, 7.22494051e-02, 8.39744687e-01, 4.29867706e+02, 0.00000000e+00, 3.64857016e-12, 3.41137014e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.41137014e-12, 0.00000000e+00, 1.37195251e+02
7.44917616e-03, 0.00000000e+00, 0.00000000e+00, 7.15094209e-02, 8.30966771e-01, 4.34183990e+02, 0.00000000e+00, 6.32325269e-12, 5.85091394e-12, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 5.85091394e-12, 0.00000000e+00, 1.41603912e+02
7.53920851e-03, 0.00000000e+00, 0.00000000e+00, 7.08654076e-02, 8.22320759e-01, 4.38543732e+02, 8.33181477e-18, 1.06315018e-11, 9.70157895e-12, 6.11225586e+02, 0.00000000e+00, 0.00000000e+00, 6.64252752e-24, -6.64252752e-24, 0, 0, 9.73567841e-12, 3.40988935e-14, 1.45789688e+02
7.62955379e-03, 0.00000000e+00, 0.00000000e+00, 7.03075007e-02, 8.13768804e-01, 4.42961395e+02, 4.11148469e-17, 1.73804998e-11, 1.55808474e-11, 2.99123926e+03, 0.00000000e+00, 0.00000000e+00, 4.80348796e-23, -4.80348796e-23, 0, 0, 1.57515754e-11, 1.70727690e-13, 1.49782349e+02
7.72021385e-03, 0.00000000e+00, 0.00000000e+00, 6.98439330e-02, 8.05282116e-01, 4.47455872e+02, 1.05134835e-16, 2.76799365e-11, 2.43819912e-11, 7.57769385e+03, 0.00000000e+00, 0.00000000e+00, 1.82451423e-22, -1.82451423e-22, 1.16608355e-07, -1.16608355e-07, 2.48254906e-11, 4.43496070e-13, 1.53578430e+02
7.81118963e-03, 0.00000000e+00, 0.00000000e+00, 6.94625229e-02, 7.96770275e-01, 4.52080750e+02, 2.04329281e-16, 4.30745613e-11, 3.73490544e-11, 1.45776045e+04, 0.00000000e+00, 0.00000000e+00, 5.29639445e-22, -5.29639445e-22, 1.84625321e-07, -1.84625321e-07, 3.82254402e-11, 8.76383981e-13, 1.57171509e+02
7.90248159e-03, 0.00000000e+00, 0.00000000e+00, 6.91422820e-02, 7.88180411e-01, 4.56864105e+02, 3.52066545e-16, 6.57606053e-11, 5.61942749e-11, 2.48518164e+04, 0.00000000e+00, 0.00000000e+00, 1.34973954e-21, -1.34973954e-21, 2.86703624e-07, -2.86703624e-07, 5.77298036e-11, 1.53553060e-12, 1.60614517e+02
7.99409207e-03, 0.00000000e+00, 0.00000000e+00, 6.88898340e-02, 7.79501915e-01, 4.61817108e+02, 5.69015188e-16, 9.88958498e-11, 8.33411742e-11, 3.97276914e+04, 0.00000000e+00, 0.00000000e+00, 3.19000931e-21, -3.19000931e-21, 4.38282854e-07, -4.38282854e-07, 8.58634691e-11, 2.52230138e-12, 1.63889420e+02
8.08602013e-03, 0.00000000e+00, 0.00000000e+00, 6.87057599e-02, 7.70727932e-01, 4.66955658e+02, 8.85004164e-16, 1.47063542e-10, 1.22262672e-10, 6.10975586e+04, 0.00000000e+00, 0.00000000e+00, 7.18617923e-21, -7.18617923e-21, 6.61965373e-07, -6.61965373e-07, 1.26246819e-10, 3.98413117e-12, 1.66979385e+02
8.17826949e-03, 0.00000000e+00, 0.00000000e+00, 6.85731098e-02, 7.61826158e-01, 4.72300476e+02, 1.34299805e-15, 2.16949181e-10, 1.77950946e-10, 9.16468906e+04, 0.00000000e+00, 0.00000000e+00, 1.56791051e-20, -1.56791051e-20, 9.91058187e-07, -9.91058187e-07, 1.84086496e-10, 6.13551441e-12, 1.69899719e+02
8.27083923e-03, 0.00000000e+00, 0.00000000e+00, 6.84857294e-02, 7.52736986e-01, 4.77895508e+02, 2.00520841e-15, 3.18309379e-10, 2.57575378e-10, 1.35203500e+05, 0.00000000e+00, 0.00000000e+00, 3.34771077e-20, -3.34771077e-20, 1.47431820e-06, -1.47431820e-06, 2.66863365e-10, 9.28796970e-12, 1.72668442e+02
8.36373121e-03, 0.00000000e+00, 0.00000000e+00, 6.84394613e-02, 7.43484914e-01, 4.83763763e+02, 2.96214452e-15, 4.65335326e-10, 3.71426750e-10, 1.97270516e+05, 0.00000000e+00, 0.00000000e+00, 7.04524397e-20, -7.04524397e-20, 2.18310129e-06, -2.18310129e-06, 3.85323801e-10, 1.38971161e-11, 1.75321304e+02
8.45694728e-03, 0.00000000e+00, 0.00000000e+00, 6.84666038e-02, 7.34223008e-01, 4.89834076e+02, 4.34531417e-15, 6.78441248e-10, 5.34178424e-10, 2.85785000e+05, 0.00000000e+00, 0.00000000e+00, 1.46849258e-19, -1.46849258e-19, 3.21837842e-06, -3.21837842e-06, 5.54791879e-10, 2.06134779e-11, 1.77798309e+02
8.55048653e-03, 0.00000000e+00, 0.00000000e+00, 6.85692355e-02, 7.24938273e-01, 4.96093231e+02, 6.34344584e-15, 9.86347115e-10, 7.65987940e-10, 4.11915000e+05, 0.00000000e+00, 0.00000000e+00, 3.03617083e-19, -3.03617083e-19, 4.72282682e-06, -4.72282682e-06, 7.96361810e-10, 3.03739117e-11, 1.80089386e+02
8.64435267e-03, 0.00000000e+00, 0.00000000e+00, 6.87048510e-02, 7.15534866e-01, 5.02599823e+02, 9.22255995e-15, 1.42833279e-09, 1.09372911e-09, 5.91094500e+05, 0.00000000e+00, 0.00000000e+00, 6.22250752e-19, -6.22250752e-19, 6.89360695e-06, -6.89360695e-06, 1.13824061e-09, 4.45114570e-11, 1.82277939e+02
8.73854477e-03, 0.00000000e+00, 0.00000000e+00, 6.88645169e-02, 7.06062853e-01, 5.09348389e+02, 1.33484879e-14, 2.05628337e-09, 1.55211022e-09, 8.44203875e+05, 0.00000000e+00, 0.00000000e+00, 1.26121717e-18, -1.26121717e-18, 9.99037820e-06, -9.99037820e-06, 1.61696412e-09, 6.48537266e-11, 1.84350479e+02
8.83306470e-03, 0.00000000e+00, 0.00000000e+00, 6.90500960e-02, 6.96564674e-01, 5.16319641e+02, 1.92095282e-14, 2.93607849e-09, 2.18393970e-09, 1.19853712e+06, 0.00000000e+00, 0.00000000e+00, 2.51904166e-18, -2.51904166e-18, 1.43404213e-05, -1.43404213e-05, 2.27776398e-09, 9.38243372e-11, 1.86294159e+02
