
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.07143030e-03, 5.81278324e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.33389038e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.08179453e-03, 5.69050550e-01, 6.74143575e-13, 2.28887257e-21, 6.22016653e-13, 5.45524902e+02, 0.00000000e+00, 0.00000000e+00, 1.08384533e-25, 4.84560283e-19, 1.19300783e-01, 1.19300783e-01, 0.00000000e+00, 1.35556280e-25, 8.91668073e-09, 1.54666185e+00, 1.92499249e-16, 3.81179054e-17, 2.39932391e-27, 3.83157044e-08, 1.08445758e-23, 1.65879074e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.10916889e-03, 5.64732611e-01, 7.24661162e-13, 2.24089933e-21, 6.29092481e-13, 5.40865051e+02, 0.00000000e+00, 0.00000000e+00, 1.08191731e-25, 4.67144254e-19, 1.16933860e-01, 1.16933860e-01, 0.00000000e+00, 1.45424893e-25, 8.72438566e-09, 1.52976108e+00, 1.92285466e-16, 4.07226442e-17, 1.80028035e-27, 4.09339620e-08, 1.16340686e-23, 1.86031616e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.14777780e-03, 5.91154695e-01, 7.51173971e-13, 2.14074827e-21, 6.17429881e-13, 5.41784302e+02, 0.00000000e+00, 0.00000000e+00, 1.13803712e-25, 4.67654418e-19, 1.27842948e-01, 1.27842948e-01, 0.00000000e+00, 1.62304951e-25, 1.04189626e-08, 1.51604807e+00, 2.09091433e-16, 4.42023846e-17, 2.00205078e-27, 4.44317578e-08, 1.29844746e-23, 1.78244095e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.25828621e-03, 6.27900541e-01, 8.14970162e-13, 2.12678738e-21, 6.31605933e-13, 5.48545410e+02, 0.00000000e+00, 0.00000000e+00, 1.35316910e-25, 4.99553811e-19, 1.47996336e-01, 1.47996336e-01, 0.00000000e+00, 2.04596955e-25, 1.32747227e-08, 1.50163412e+00, 2.50312583e-16, 5.09985700e-17, 3.35072521e-27, 5.12632106e-08, 1.63678477e-23, 1.30272903e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.53271018e-03, 6.58731759e-01, 9.55141348e-13, 2.30032789e-21, 7.01525372e-13, 5.55620789e+02, 0.00000000e+00, 0.00000000e+00, 1.85094403e-25, 5.73607517e-19, 1.72024205e-01, 1.72024205e-01, 0.00000000e+00, 2.94661784e-25, 1.68323542e-08, 1.48858750e+00, 3.28784944e-16, 6.27060675e-17, 5.87786000e-27, 6.30314645e-08, 2.35730918e-23, 6.69858856e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.15591959e-03, 6.80431724e-01, 1.16114811e-12, 2.87880664e-21, 8.46071694e-13, 5.58612427e+02, 0.00000000e+00, 0.00000000e+00, 2.92209536e-25, 7.45400833e-19, 1.95063367e-01, 1.95063367e-01, 0.00000000e+00, 4.62574230e-25, 1.86786213e-08, 1.50401592e+00, 4.85913738e-16, 7.87056463e-17, 9.07812425e-27, 7.91140522e-08, 3.70061624e-23, 2.64020348e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.94676845e-03, 6.93693578e-01, 1.32259459e-12, 3.67451763e-21, 9.95233518e-13, 5.56960449e+02, 0.00000000e+00, 0.00000000e+00, 4.19089012e-25, 9.65757147e-19, 2.09605336e-01, 2.09605336e-01, 0.00000000e+00, 6.35294142e-25, 1.76179480e-08, 1.54675770e+00, 6.77076792e-16, 9.12924434e-17, 1.08408309e-26, 9.17661680e-08, 5.08238406e-23, 6.45056686e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.80893427e-03, 6.96391046e-01, 1.40057627e-12, 4.44681554e-21, 1.09831599e-12, 5.52097290e+02, 0.00000000e+00, 0.00000000e+00, 5.18509645e-25, 1.16327785e-18, 2.12452218e-01, 2.12452218e-01, 0.00000000e+00, 7.46554147e-25, 1.51351056e-08, 1.59495890e+00, 8.56772767e-16, 9.70267308e-17, 1.00466729e-26, 9.75302115e-08, 5.97247222e-23, 1.01246117e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.30130000e-03, 6.93523347e-01, 1.45577485e-12, 5.39474513e-21, 1.19097429e-12, 5.44303772e+02, 0.00000000e+00, 0.00000000e+00, 6.11301923e-25, 1.38782099e-18, 2.09196717e-01, 2.09196717e-01, 0.00000000e+00, 8.34201475e-25, 1.18719443e-08, 1.65548527e+00, 1.11606734e-15, 1.00436806e-16, 7.78033789e-27, 1.00957976e-07, 6.67365850e-23, 1.33517563e+02
5.37964795e-03, 0.00000000e+00, 0.00000000e+00, 1.15251252e-02, 6.95839047e-01, 1.49328911e-12, 6.69345100e-21, 1.27533747e-12, 5.31975830e+02, 0.00000000e+00, 0.00000000e+00, 7.15219655e-25, 1.69380916e-18, 2.04132289e-01, 2.04132289e-01, 0.00000000e+00, 9.22832463e-25, 8.13757861e-09, 1.73795056e+00, 1.65758726e-15, 1.03377923e-16, 4.80076865e-27, 1.03914360e-07, 7.38271697e-23, 1.53781830e+02
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.65009815e-02, 7.05371737e-01, 1.51707976e-12, 8.55214038e-21, 1.35378785e-12, 5.16485962e+02, 0.00000000e+00, 0.00000000e+00, 8.41584325e-25, 2.13889819e-18, 1.99233234e-01, 1.99233234e-01, 0.00000000e+00, 1.02266399e-24, 5.14920151e-09, 1.84799922e+00, 2.54923205e-15, 1.06463174e-16, 2.35656846e-27, 1.07015616e-07, 8.18138121e-23, 1.63024460e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.23144218e-02, 7.18425989e-01, 1.53221825e-12, 1.11596617e-20, 1.42992562e-12, 5.01178467e+02, 0.00000000e+00, 0.00000000e+00, 9.93905675e-25, 2.77080483e-18, 1.95145547e-01, 1.95145547e-01, 0.00000000e+00, 1.13174738e-24, 3.44991014e-09, 1.98238409e+00, 3.71866395e-15, 1.09514537e-16, 1.11490544e-27, 1.10082816e-07, 9.05405701e-23, 1.64997284e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.88105514e-02, 7.35224843e-01, 1.54445185e-12, 1.47897470e-20, 1.50761001e-12, 4.86388672e+02, 0.00000000e+00, 0.00000000e+00, 1.18459860e-24, 3.66414004e-18, 1.92366257e-01, 1.92366257e-01, 0.00000000e+00, 1.25995592e-24, 2.44548648e-09, 2.13892627e+00, 5.22294364e-15, 1.12971458e-16, 5.22473883e-28, 1.13557675e-07, 1.00797371e-22, 1.61800888e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.71705890e-02, 7.63575494e-01, 1.55580442e-12, 2.01393890e-20, 1.59013319e-12, 4.67757416e+02, 0.00000000e+00, 0.00000000e+00, 1.45647034e-24, 5.01396976e-18, 1.90824732e-01, 1.90824732e-01, 0.00000000e+00, 1.44555605e-24, 1.77721327e-09, 2.32747173e+00, 7.54578539e-15, 1.18193601e-16, 2.05448216e-28, 1.18806945e-07, 1.15645545e-22, 1.50837769e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.85977158e-02, 8.10204268e-01, 1.56621536e-12, 2.86429414e-20, 1.68208297e-12, 4.41986511e+02, 0.00000000e+00, 0.00000000e+00, 1.87649341e-24, 7.21378587e-18, 1.89783260e-01, 1.89783260e-01, 0.00000000e+00, 1.73540603e-24, 1.28846145e-09, 2.56626940e+00, 1.14533796e-14, 1.26254655e-16, 4.50786262e-29, 1.26909825e-07, 1.38833802e-22, 1.30517838e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.17914386e-02, 8.68830144e-01, 1.58049648e-12, 4.22455098e-20, 1.79237712e-12, 4.13573273e+02, 0.00000000e+00, 0.00000000e+00, 2.50462391e-24, 1.07939923e-17, 1.89007476e-01, 1.89007476e-01, 0.00000000e+00, 2.14753202e-24, 9.68379044e-10, 2.85805917e+00, 1.72448437e-14, 1.36636870e-16, 5.36656994e-30, 1.37345893e-07, 1.71804275e-22, 1.07179588e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.48160183e-02, 9.29368138e-01, 1.60474542e-12, 6.26683535e-20, 1.92864756e-12, 3.87823029e+02, 0.00000000e+00, 0.00000000e+00, 3.39164238e-24, 1.62416599e-17, 1.88842982e-01, 1.88842982e-01, 0.00000000e+00, 2.68515394e-24, 7.77211573e-10, 3.18152881e+00, 2.48421448e-14, 1.48414625e-16, 5.11032815e-31, 1.49184771e-07, 2.14814549e-22, 8.69018173e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.55041146e-02, 9.77550030e-01, 1.64442320e-12, 8.94335400e-20, 2.09241088e-12, 3.69447723e+02, 0.00000000e+00, 0.00000000e+00, 4.50690356e-24, 2.34266334e-17, 1.89874291e-01, 1.89874291e-01, 0.00000000e+00, 3.29833019e-24, 6.76260270e-10, 3.49050045e+00, 3.31165217e-14, 1.59965269e-16, 6.02909289e-32, 1.60795366e-07, 2.63869303e-22, 7.28079071e+01
