
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.64879933e-02, 7.08207965e-01, 1.19818402e-17, 9.99900524e-24, 1.53443047e-15, 5.14309387e+02, 0.00000000e+00, 0.00000000e+00, 1.09163430e-30, 2.72314199e-21, 1.98661000e-01, 1.98661000e-01, 0.00000000e+00, 9.23851279e-33, 3.99481812e-14, 1.86780453e+00, 2.89413394e-18, 8.44636729e-22, 2.40599751e-30, 8.49019585e-13, 7.39077920e-31, 1.62547714e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.22725850e-02, 7.21194863e-01, 1.35035217e-17, 1.28257187e-23, 1.55531279e-15, 4.99175537e+02, 0.00000000e+00, 0.00000000e+00, 1.19157972e-30, 3.45308849e-21, 1.94604293e-01, 1.94604293e-01, 0.00000000e+00, 1.09420759e-32, 3.00195795e-14, 2.02005100e+00, 4.04774174e-18, 9.69366619e-22, 1.11411972e-30, 9.74396779e-13, 8.75361303e-31, 1.64516281e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.87427381e-02, 7.37937629e-01, 1.51208186e-17, 1.66184720e-23, 1.57346524e-15, 4.84543732e+02, 0.00000000e+00, 0.00000000e+00, 1.31114819e-30, 4.44517652e-21, 1.91848040e-01, 1.91848040e-01, 0.00000000e+00, 1.29852761e-32, 2.36635882e-14, 2.19342494e+00, 5.45317619e-18, 1.11090437e-21, 5.08929010e-31, 1.11666904e-12, 1.03881520e-30, 1.61322479e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.71096022e-02, 7.66341567e-01, 1.72143350e-17, 2.20001300e-23, 1.59195173e-15, 4.66029327e+02, 0.00000000e+00, 0.00000000e+00, 1.48519743e-30, 5.87728062e-21, 1.90313518e-01, 1.90313518e-01, 0.00000000e+00, 1.61716843e-32, 1.93831564e-14, 2.39793921e+00, 7.55649921e-18, 1.31466636e-21, 1.94780801e-31, 1.32148827e-12, 1.29372454e-30, 1.50320282e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.85427231e-02, 8.12934041e-01, 2.04088635e-17, 3.02009907e-23, 1.61231017e-15, 4.40463196e+02, 0.00000000e+00, 0.00000000e+00, 1.75406176e-30, 8.08666711e-21, 1.89273059e-01, 1.89273059e-01, 0.00000000e+00, 2.19424079e-32, 1.64699119e-14, 2.65185046e+00, 1.09759414e-17, 1.65603205e-21, 4.11918582e-32, 1.66462536e-12, 1.75537531e-30, 1.29989563e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.17101081e-02, 8.71279955e-01, 2.68850292e-17, 4.27920974e-23, 1.64330046e-15, 4.12374298e+02, 0.00000000e+00, 0.00000000e+00, 2.14116277e-30, 1.14968420e-20, 1.88503459e-01, 1.88503459e-01, 0.00000000e+00, 3.40728410e-32, 1.60633124e-14, 2.95798135e+00, 1.57998958e-17, 2.34405658e-21, 4.75910202e-33, 2.35622025e-12, 2.72579291e-30, 1.06750221e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.47235119e-02, 9.31519926e-01, 4.49411594e-17, 6.12516099e-23, 1.70271749e-15, 3.86899872e+02, 0.00000000e+00, 0.00000000e+00, 2.69047109e-30, 1.65105686e-20, 1.88339964e-01, 1.88339964e-01, 0.00000000e+00, 6.83125729e-32, 2.10178131e-14, 3.29394293e+00, 2.19357694e-17, 4.20470648e-21, 4.41092822e-34, 4.22652538e-12, 5.46491800e-30, 8.66090469e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.54324028e-02, 9.79553699e-01, 1.05971359e-16, 8.64144110e-23, 1.83653980e-15, 3.68674408e+02, 0.00000000e+00, 0.00000000e+00, 3.54471243e-30, 2.33525010e-20, 1.89359233e-01, 1.89359233e-01, 0.00000000e+00, 1.94638837e-31, 4.22723854e-14, 3.60394478e+00, 2.91541726e-17, 1.04141748e-20, 5.12119554e-35, 1.04682166e-11, 1.55708291e-29, 7.25807419e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.12696421e-02, 1.00094891e+00, 3.16162512e-16, 1.20200061e-22, 2.18438807e-15, 3.61197632e+02, 0.00000000e+00, 0.00000000e+00, 5.36803733e-30, 3.25261085e-20, 1.92166731e-01, 1.92166731e-01, 0.00000000e+00, 7.35952610e-31, 1.22844551e-13, 3.80230832e+00, 3.81668943e-17, 3.15299891e-20, 2.22069738e-35, 3.16936026e-11, 5.88753895e-29, 6.66335373e+01
6.22102898e-03, 0.00000000e+00, 0.00000000e+00, 9.25663114e-02, 1.00022388e+00, 9.98532519e-16, 1.73584980e-22, 3.16697360e-15, 3.61783691e+02, 0.00000000e+00, 0.00000000e+00, 1.16447660e-29, 4.70153563e-20, 1.96816772e-01, 1.96816772e-01, 0.00000000e+00, 3.52618664e-30, 4.15022888e-13, 3.81532693e+00, 5.58600891e-17, 9.91718081e-20, 3.71178068e-35, 9.96864258e-11, 2.82094377e-28, 6.67529602e+01
