
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.64777376e-02, 7.00059235e-01, 1.94286210e-12, 1.02403175e-20, 1.66923008e-12, 5.20578064e+02, 0.00000000e+00, 0.00000000e+00, 1.25961513e-24, 2.55906996e-18, 2.00090170e-01, 2.00090170e-01, 0.00000000e+00, 1.59112298e-24, 6.66186173e-09, 1.82970595e+00, 3.10641160e-15, 1.35321600e-16, 3.61299489e-27, 1.36023772e-07, 1.27288993e-22, 1.64112900e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.22976115e-02, 7.13086545e-01, 1.97511864e-12, 1.35101794e-20, 1.77682717e-12, 5.05051636e+02, 0.00000000e+00, 0.00000000e+00, 1.51173971e-24, 3.35147176e-18, 1.95964232e-01, 1.95964232e-01, 0.00000000e+00, 1.78646644e-24, 4.48987425e-09, 1.96491575e+00, 4.56906174e-15, 1.40127069e-16, 1.72982386e-27, 1.40854198e-07, 1.42916226e-22, 1.66184311e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.88143121e-02, 7.29899406e-01, 2.00269792e-12, 1.80867064e-20, 1.88680972e-12, 4.90035065e+02, 0.00000000e+00, 0.00000000e+00, 1.82927811e-24, 4.47695956e-18, 1.93159878e-01, 1.93159878e-01, 0.00000000e+00, 2.01590111e-24, 3.19956373e-09, 2.12214589e+00, 6.47108989e-15, 1.45437066e-16, 8.19618006e-28, 1.46191780e-07, 1.61270823e-22, 1.63024033e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.72318029e-02, 7.58454204e-01, 2.03035679e-12, 2.48901280e-20, 2.00532624e-12, 4.71014008e+02, 0.00000000e+00, 0.00000000e+00, 2.28720359e-24, 6.19160860e-18, 1.91600025e-01, 1.91600025e-01, 0.00000000e+00, 2.34860576e-24, 2.33654895e-09, 2.31136394e+00, 9.44493744e-15, 1.53225706e-16, 3.23657535e-28, 1.54020839e-07, 1.87886889e-22, 1.51969879e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.87003550e-02, 8.05327296e-01, 2.05932992e-12, 3.58025676e-20, 2.14000757e-12, 4.44746368e+02, 0.00000000e+00, 0.00000000e+00, 3.00430241e-24, 9.00993082e-18, 1.90541014e-01, 1.90541014e-01, 0.00000000e+00, 2.87061336e-24, 1.70543901e-09, 2.55051374e+00, 1.44859117e-14, 1.65031783e-16, 7.09056808e-29, 1.65888139e-07, 2.29647002e-22, 1.31460434e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.18679486e-02, 8.64057302e-01, 2.09778635e-12, 5.34398613e-20, 2.30494747e-12, 4.15904205e+02, 0.00000000e+00, 0.00000000e+00, 4.10218715e-24, 1.36432085e-17, 1.89754769e-01, 1.89754769e-01, 0.00000000e+00, 3.62946698e-24, 1.29483024e-09, 2.84154010e+00, 2.20435598e-14, 1.80397543e-16, 8.46949510e-30, 1.81333647e-07, 2.90354784e-22, 1.07994377e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.48748481e-02, 9.24824476e-01, 2.15569641e-12, 8.03113793e-20, 2.51322530e-12, 3.89759766e+02, 0.00000000e+00, 0.00000000e+00, 5.71059368e-24, 2.07982951e-17, 1.89588681e-01, 1.89588681e-01, 0.00000000e+00, 4.66093378e-24, 1.05242548e-09, 3.16281915e+00, 3.21957630e-14, 1.98440113e-16, 8.12479032e-31, 1.99469824e-07, 3.72871856e-22, 8.76584091e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.56132582e-02, 9.73427951e-01, 2.24196963e-12, 1.16241313e-19, 2.77007605e-12, 3.71045593e+02, 0.00000000e+00, 0.00000000e+00, 7.83742776e-24, 3.04283517e-17, 1.90620914e-01, 1.90620914e-01, 0.00000000e+00, 5.91059989e-24, 9.29205657e-10, 3.46819949e+00, 4.36563966e-14, 2.17209873e-16, 9.54873986e-32, 2.18337007e-07, 4.72845044e-22, 7.34814758e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.15136784e-02, 9.95159984e-01, 2.36194267e-12, 1.56186834e-19, 3.07017042e-12, 3.63359619e+02, 0.00000000e+00, 0.00000000e+00, 1.02553267e-23, 4.10759297e-17, 1.93450585e-01, 1.93450585e-01, 0.00000000e+00, 7.19615247e-24, 9.27539601e-10, 3.70444107e+00, 5.32577725e-14, 2.33859603e-16, 3.90908707e-32, 2.35073131e-07, 5.75688222e-22, 6.74887314e+01
6.22102898e-03, 0.00000000e+00, 0.00000000e+00, 9.28519815e-02, 9.94458079e-01, 2.51206846e-12, 1.93121069e-19, 3.39785838e-12, 3.63950317e+02, 0.00000000e+00, 0.00000000e+00, 1.27701127e-23, 5.08130135e-17, 1.98133603e-01, 1.98133603e-01, 0.00000000e+00, 8.45016600e-24, 1.03587372e-09, 3.84847546e+00, 5.96785059e-14, 2.48496623e-16, 5.23429179e-32, 2.49786098e-07, 6.76004975e-22, 6.76562424e+01
6.30678656e-03, 0.00000000e+00, 0.00000000e+00, 9.17852074e-02, 9.84337091e-01, 2.68230056e-12, 2.23691946e-19, 3.74085702e-12, 3.68039429e+02, 0.00000000e+00, 0.00000000e+00, 1.53684493e-23, 5.87873754e-17, 2.04080626e-01, 2.04080626e-01, 0.00000000e+00, 9.72818614e-24, 1.21422672e-09, 3.91629148e+00, 6.39590648e-14, 2.62611872e-16, 1.02237693e-31, 2.63974584e-07, 7.78238218e-22, 7.06969604e+01
