
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.08187928e-03, 5.83943963e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.28198364e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.09218948e-03, 5.71675777e-01, 4.22452719e-19, 2.45990634e-24, 7.04822151e-16, 5.43168030e+02, 0.00000000e+00, 0.00000000e+00, 1.38798858e-31, 5.21122877e-22, 1.19178720e-01, 1.19178720e-01, 0.00000000e+00, 9.71788182e-35, 5.54890267e-15, 0.00000000e+00, 2.19960172e-19, 2.39940706e-23, 0.00000000e+00, 2.41185805e-14, 7.77452421e-33, 1.65348053e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.11957828e-03, 5.67344189e-01, 4.60905658e-19, 2.43357771e-24, 7.47431190e-16, 5.38555298e+02, 0.00000000e+00, 0.00000000e+00, 1.51661070e-31, 5.07795243e-22, 1.16825037e-01, 1.16825037e-01, 0.00000000e+00, 1.11054944e-34, 5.51839763e-15, 0.00000000e+00, 2.30807508e-19, 2.60240779e-23, 0.00000000e+00, 2.61591218e-14, 8.88464565e-33, 1.85420914e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.15825332e-03, 5.93844414e-01, 4.88220764e-19, 2.34242582e-24, 7.65210094e-16, 5.39477051e+02, 0.00000000e+00, 0.00000000e+00, 1.72823519e-31, 5.12204129e-22, 1.27708897e-01, 1.27708897e-01, 0.00000000e+00, 1.32268277e-34, 6.73914914e-15, 0.00000000e+00, 2.61984437e-19, 2.88705515e-23, 0.00000000e+00, 2.90203618e-14, 1.05817641e-32, 1.77626633e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.26919339e-03, 6.30667984e-01, 5.65312240e-19, 2.34325985e-24, 8.13700771e-16, 5.46209351e+02, 0.00000000e+00, 0.00000000e+00, 2.20938301e-31, 5.50847661e-22, 1.47806883e-01, 1.47806883e-01, 0.00000000e+00, 1.85758390e-34, 9.18178802e-15, 0.00000000e+00, 3.25906266e-19, 3.55817510e-23, 0.00000000e+00, 3.57663931e-14, 1.48611153e-32, 1.29768188e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.54501947e-03, 6.61528766e-01, 8.04904535e-19, 2.55378473e-24, 9.27520241e-16, 5.53259155e+02, 0.00000000e+00, 0.00000000e+00, 3.16872276e-31, 6.37206296e-22, 1.71767309e-01, 1.71767309e-01, 0.00000000e+00, 3.36344635e-34, 1.41195895e-14, 0.00000000e+00, 4.38966553e-19, 5.31934462e-23, 0.00000000e+00, 5.34694766e-14, 2.69084410e-32, 6.66477966e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.16855624e-03, 6.83219194e-01, 1.87088940e-18, 3.23602497e-24, 1.10924131e-15, 5.56253052e+02, 0.00000000e+00, 0.00000000e+00, 4.90670432e-31, 8.38310645e-22, 1.94713295e-01, 1.94713295e-01, 0.00000000e+00, 1.02816459e-33, 2.87527841e-14, 0.00000000e+00, 6.41372944e-19, 1.27972033e-22, 0.00000000e+00, 1.28636088e-13, 8.22570568e-32, 2.63440399e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.96103910e-03, 6.96457863e-01, 3.72298567e-18, 4.17286751e-24, 1.26431886e-15, 5.54617004e+02, 0.00000000e+00, 0.00000000e+00, 6.66337624e-31, 1.09708454e-21, 2.09166944e-01, 2.09166944e-01, 0.00000000e+00, 2.31332201e-33, 4.82164899e-14, 0.00000000e+00, 8.66223744e-19, 2.58343061e-22, 0.00000000e+00, 2.59683605e-13, 1.85075708e-31, 6.43688736e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.82622939e-03, 6.99125111e-01, 5.81321483e-18, 5.07920913e-24, 1.34804881e-15, 5.49781555e+02, 0.00000000e+00, 0.00000000e+00, 7.75247458e-31, 1.32904387e-21, 2.11980268e-01, 2.11980268e-01, 0.00000000e+00, 3.84631670e-33, 6.11055938e-14, 0.00000000e+00, 1.05902941e-18, 4.04157499e-22, 0.00000000e+00, 4.06254701e-13, 3.07722674e-31, 1.01012955e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.34372547e-03, 6.96327209e-01, 8.05740753e-18, 6.18002311e-24, 1.41032288e-15, 5.41972961e+02, 0.00000000e+00, 0.00000000e+00, 8.56620443e-31, 1.59033258e-21, 2.08723202e-01, 2.08723202e-01, 0.00000000e+00, 5.52026584e-33, 6.37287735e-14, 0.00000000e+00, 1.33361533e-18, 5.58011174e-22, 0.00000000e+00, 5.60906681e-13, 4.41647004e-31, 1.33123154e+02
