
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.65039357e-02, 7.08713949e-01, 5.80459481e-14, 2.60070906e-22, 4.37201646e-14, 5.13923157e+02, 0.00000000e+00, 0.00000000e+00, 8.76264036e-28, 1.18021044e-19, 1.98579028e-01, 1.98579028e-01, 0.00000000e+00, 1.27675645e-27, 1.95099520e-10, 1.81005991e+00, 8.31094169e-17, 4.09304270e-18, 6.21653353e-29, 4.11428225e-09, 1.02146308e-25, 1.62405609e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.22612470e-02, 7.21614838e-01, 5.98621359e-14, 3.51980850e-22, 4.74582260e-14, 4.98867126e+02, 0.00000000e+00, 0.00000000e+00, 1.09402277e-27, 1.57915487e-19, 1.94530919e-01, 1.94530919e-01, 0.00000000e+00, 1.48161348e-27, 1.34005668e-10, 1.94773412e+00, 1.24151168e-16, 4.29791176e-18, 3.06358248e-29, 4.32021441e-09, 1.18535854e-25, 1.64403946e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.87157223e-02, 7.38323092e-01, 6.14984544e-14, 4.82228677e-22, 5.13275132e-14, 4.84284668e+02, 0.00000000e+00, 0.00000000e+00, 1.37369842e-27, 2.14966353e-19, 1.91786692e-01, 1.91786692e-01, 0.00000000e+00, 1.72401006e-27, 9.69417463e-11, 2.10695910e+00, 1.78634365e-16, 4.51783965e-18, 1.48700554e-29, 4.54128379e-09, 1.37928644e-25, 1.61219086e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.70730534e-02, 7.66685367e-01, 6.32332457e-14, 6.79248417e-22, 5.56059545e-14, 4.65824219e+02, 0.00000000e+00, 0.00000000e+00, 1.78496343e-27, 3.02441039e-19, 1.90261111e-01, 1.90261111e-01, 0.00000000e+00, 2.07458997e-27, 7.18714671e-11, 2.29781461e+00, 2.65397022e-16, 4.82458221e-18, 6.01920064e-30, 4.84961804e-09, 1.65976495e-25, 1.50250443e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.85021211e-02, 8.13256860e-01, 6.51888550e-14, 1.00171946e-21, 6.06197899e-14, 4.40296265e+02, 0.00000000e+00, 0.00000000e+00, 2.44631063e-27, 4.47070907e-19, 1.89222738e-01, 1.89222738e-01, 0.00000000e+00, 2.62928669e-27, 5.32965443e-11, 2.53831887e+00, 4.15442714e-16, 5.27706034e-18, 1.35756959e-30, 5.30444400e-09, 2.10354222e-25, 1.29956284e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.16645478e-02, 8.71595979e-01, 6.77505740e-14, 1.53655594e-21, 6.69423149e-14, 4.12217438e+02, 0.00000000e+00, 0.00000000e+00, 3.50943186e-27, 6.88067342e-19, 1.88441992e-01, 1.88441992e-01, 0.00000000e+00, 3.47189433e-27, 4.12489730e-11, 2.82989740e+00, 6.47738800e-16, 5.87925486e-18, 1.68856625e-31, 5.90976201e-09, 2.77765000e-25, 1.06698387e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.46782273e-02, 9.31856155e-01, 7.14021466e-14, 2.37836479e-21, 7.51821972e-14, 3.86736389e+02, 0.00000000e+00, 0.00000000e+00, 5.17774941e-27, 1.06848419e-18, 1.88262850e-01, 1.88262850e-01, 0.00000000e+00, 4.70225194e-27, 3.43489404e-11, 3.14983177e+00, 9.73419580e-16, 6.62582259e-18, 1.69565721e-32, 6.66020528e-09, 3.76194158e-25, 8.65194702e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.54045227e-02, 9.79951441e-01, 7.66006318e-14, 3.54955399e-21, 8.57302375e-14, 3.68502136e+02, 0.00000000e+00, 0.00000000e+00, 7.59117151e-27, 1.59865164e-18, 1.89277321e-01, 1.89277321e-01, 0.00000000e+00, 6.35189953e-27, 3.12841697e-11, 3.45071936e+00, 1.36320752e-15, 7.47357601e-18, 2.11950080e-33, 7.51235785e-09, 5.08161565e-25, 7.24846344e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.12975818e-02, 1.00140584e+00, 8.36571616e-14, 4.91740982e-21, 9.86098410e-14, 3.61022675e+02, 0.00000000e+00, 0.00000000e+00, 1.06724252e-26, 2.21767577e-18, 1.92079857e-01, 1.92079857e-01, 0.00000000e+00, 8.30723381e-27, 3.23980287e-11, 3.67872882e+00, 1.72320235e-15, 8.33558258e-18, 9.20804490e-34, 8.37883718e-09, 6.64577250e-25, 6.64865570e+01
6.22102898e-03, 0.00000000e+00, 0.00000000e+00, 9.26118195e-02, 1.00053906e+00, 9.27146408e-14, 6.27083441e-21, 1.13652509e-13, 3.61663269e+02, 0.00000000e+00, 0.00000000e+00, 1.43807556e-26, 2.83056635e-18, 1.96730435e-01, 1.96730435e-01, 0.00000000e+00, 1.05799875e-26, 3.77493384e-11, 3.81027555e+00, 2.00873652e-15, 9.22663973e-18, 1.29297831e-33, 9.27451804e-09, 8.46378726e-25, 6.66797714e+01
